File,Frame,X,Y,Z
-,380,-59.296597,-27.65205,2.557192
-,381,-60.716331,-26.691765,1.984954
-,382,-62.488419,-25.623825,1.870464
-,383,-63.988342,-24.840908,1.869171
-,384,-65.731102,-24.02397,1.534696
-,385,-67.747536,-23.194931,0.636125
-,386,-68.887627,-22.143764,0.424182
-,387,-69.778732,-21.695789,0.110259
-,388,-70.439568,-21.674053,-0.175749
-,389,-70.801941,-22.131393,-0.361207
-,390,-70.967621,-22.989807,-0.389982
-,391,-71.351791,-23.993425,-0.266327
-,392,-71.632835,-24.849255,0.206683
-,393,-72.080803,-25.554689,0.363856
-,394,-72.270775,-26.228168,0.18191
-,395,-72.539932,-26.527912,-0.057895
-,396,-72.940369,-26.297579,-0.738079
-,397,-73.08889,-25.979662,-1.882443
-,398,-73.745964,-25.551884,-3.531888
-,399,-74.293655,-25.669153,-5.476831
-,400,-74.846344,-26.491673,-7.240287
-,401,-75.183868,-28.008926,-8.734512
-,402,-75.851768,-29.808664,-9.834167
-,403,-76.587982,-31.73432,-10.927639
-,404,-77.617424,-33.250301,-12.186617
-,405,-78.410057,-34.309109,-13.666729
-,406,-79.349655,-34.492401,-15.274853
-,407,-80.377403,-33.915752,-17.101131
-,408,-81.463722,-32.680744,-18.490643
-,409,-82.479538,-31.155949,-19.386177
-,410,-83.374413,-29.71023,-19.867172
-,411,-84.249023,-28.239094,-19.912682
-,412,-85.485275,-27.438871,-19.974304
-,413,-86.433548,-26.746872,-19.942814
-,414,-86.652336,-26.201286,-18.134258
-,415,-85.781982,-26.342434,-15.677832
-,416,-82.333389,-28.633062,-12.474222
-,417,-77.347374,-29.334652,-8.92553
-,418,-74.710838,-24.977892,-8.644115
-,419,-73.432304,-20.335651,-10.024846
-,420,-71.986778,-17.889221,-9.224111
-,421,-70.888809,-16.881433,-6.642523
-,422,-72.150002,-16.82342,-6.061408
-,423,-73.014458,-16.863161,-5.729385
-,424,-73.898972,-17.349665,-5.264582
-,425,-74.60807,-17.502293,-4.861257
-,426,-75.420441,-17.093016,-4.475263
-,427,-76.177803,-17.191351,-4.160261
-,428,-77.010315,-17.561844,-4.282069
-,429,-77.837486,-17.929066,-4.322927
-,430,-78.136658,-18.340691,-3.99711
-,431,-78.740372,-18.534433,-4.021807
-,432,-79.16246,-18.195509,-3.990801
-,433,-79.6744,-17.427113,-4.47825
-,434,-79.982323,-16.370573,-4.936918
-,435,-80.421486,-15.617679,-5.375046
-,436,-80.742073,-15.807411,-5.571103
-,437,-81.106003,-16.204124,-5.548674
-,438,-81.349876,-17.005163,-5.441017
-,439,-81.677879,-17.547983,-5.39207
-,440,-81.75235,-17.975115,-5.369418
-,441,-81.938301,-18.508249,-5.278808
-,442,-81.881638,-18.670334,-5.236586
-,443,-82.143295,-18.702557,-5.327865
-,444,-82.301857,-18.730562,-5.383249
-,445,-82.329826,-18.844053,-5.429603
-,446,-82.540871,-19.044085,-5.40559
-,447,-82.364029,-19.459078,-5.504708
-,448,-82.51474,-19.301981,-5.437285
-,449,-82.500816,-19.789024,-5.639695
-,450,-82.902626,-19.852957,-5.79599
-,451,-82.866188,-20.091761,-6.056131
-,452,-83.027878,-20.384066,-6.144322
-,453,-83.54335,-20.620499,-6.238702
-,454,-83.614075,-20.836155,-6.474091
-,455,-83.737839,-21.012106,-6.556261
-,456,-83.916061,-21.191967,-6.765001
-,457,-84.23262,-21.332582,-6.811266
-,458,-84.342178,-21.561646,-6.99256
-,459,-84.452393,-21.889471,-7.157138
-,460,-84.666611,-22.143652,-7.479789
-,461,-84.974991,-22.484188,-7.755187
-,462,-85.23394,-22.793411,-8.096666
-,463,-85.506149,-22.99976,-8.445785
-,464,-85.797211,-23.078367,-8.876343
-,465,-85.934074,-23.298653,-9.366444
-,466,-86.111221,-23.477043,-9.944017
-,467,-86.48748,-23.642235,-10.50846
-,468,-86.739967,-23.651356,-11.046153
-,469,-86.95871,-23.77544,-11.697957
-,470,-86.911751,-23.857822,-12.271319
-,471,-87.056435,-24.120802,-13.046144
-,472,-86.882408,-24.532417,-13.67144
-,473,-86.494392,-25.088308,-14.365123
-,474,-85.80722,-25.983934,-14.92627
-,475,-84.293472,-27.217369,-15.309106
-,476,-82.420235,-29.022072,-15.399335
-,477,-79.163864,-31.364744,-14.511967
-,478,-74.952698,-34.370117,-12.745227
-,479,-68.719223,-37.465374,-8.568631
-,480,-61.766754,-39.679588,-3.268516
-,481,-55.601456,-40.215717,0.972766
-,482,-50.494625,-38.718002,3.467284
-,483,-46.583874,-35.927132,4.382007
-,484,-44.095081,-32.593643,3.708841
-,485,-42.82478,-29.337969,2.091309
-,486,-43.563107,-26.530867,-1.266284
-,487,-46.166782,-24.997114,-4.152365
-,488,-50.071026,-23.619965,-5.963393
-,489,-54.300171,-22.934021,-6.614215
-,490,-57.421928,-22.823515,-6.478087
-,491,-59.78503,-22.766075,-6.563005
-,492,-61.48328,-23.000177,-6.739705
-,493,-62.698555,-23.419552,-6.940118
-,494,-64.049568,-23.742357,-6.62713
-,495,-64.970062,-24.424238,-6.081564
-,496,-66.69474,-24.710119,-5.720765
-,497,-68.059845,-25.39131,-5.379888
-,498,-70.059662,-25.869715,-5.272215
-,499,-71.872223,-26.057625,-5.492748
-,500,-73.236511,-26.246359,-5.778709
-,501,-74.696083,-26.103081,-6.41199
-,502,-75.653351,-25.946363,-6.654148
-,503,-76.872055,-25.711161,-7.040865
-,504,-77.690292,-25.741053,-7.610762
-,505,-78.449936,-25.690807,-7.45714
-,506,-79.050316,-25.664309,-7.456425
-,507,-79.552422,-25.408764,-7.279382
-,508,-80.322319,-24.887466,-7.588608
-,509,-80.891098,-24.578396,-7.684113
-,510,-81.368965,-24.216055,-7.685476
-,511,-81.508896,-24.178471,-7.778354
-,512,-81.555908,-24.339853,-8.220079
-,513,-81.73439,-24.410883,-8.760284
-,514,-81.719688,-24.89818,-9.600563
-,515,-81.983688,-25.392294,-10.414249
-,516,-82.146469,-25.895733,-11.156869
-,517,-82.359756,-26.656887,-11.882894
-,518,-82.458488,-27.407957,-12.74159
-,519,-82.526321,-27.998953,-13.637918
-,520,-82.867393,-28.171034,-14.579
-,521,-83.054985,-28.063648,-15.469682
-,522,-83.3125,-27.575953,-16.246729
-,523,-83.687698,-27.192619,-16.983837
-,524,-84.001579,-27.058926,-17.633076
-,525,-84.201134,-27.015915,-18.163593
-,526,-84.417946,-27.202188,-18.431158
-,527,-84.765602,-27.125738,-18.721785
-,528,-85.25901,-26.997993,-19.121845
-,529,-85.892143,-26.753035,-19.656513
-,530,-86.425468,-26.494926,-19.862419
-,531,-86.753372,-26.389256,-19.237307
-,532,-86.528603,-27.031595,-17.333204
-,533,-84.763916,-29.340652,-14.795001
-,534,-79.947083,-31.714157,-11.442019
-,535,-76.498772,-29.327208,-10.230402
-,536,-76.091179,-24.775743,-11.979476
-,537,-75.645164,-22.41988,-13.051688
-,538,-74.52874,-22.000795,-11.093442
-,539,-73.800209,-22.067593,-8.579309
-,540,-74.067795,-22.045975,-7.230784
-,541,-75.383224,-21.751471,-7.326239
-,542,-76.160637,-20.941393,-7.028231
-,543,-76.827461,-20.685581,-7.053094
-,544,-77.390167,-20.209179,-7.183366
-,545,-77.819496,-19.787348,-7.036938
-,546,-78.291603,-19.420486,-7.055917
-,547,-78.74099,-19.207144,-7.005889
-,548,-79.105507,-19.248173,-6.90022
-,549,-79.3554,-19.330759,-6.750546
-,550,-79.565247,-18.950895,-6.862344
-,551,-80.049309,-17.985394,-7.188787
-,552,-80.425079,-17.317703,-7.464648
-,553,-80.698235,-16.959724,-7.494551
-,554,-80.889488,-17.319916,-7.489336
-,555,-81.27047,-17.976112,-7.220212
-,556,-81.270554,-18.452316,-7.313814
