File,Frame,X,Y,Z,Reliability
-,378,0.342526,-0.286554,0.084731,0.65
-,379,0.342619,-0.268556,0.0875,0.42
-,380,0.341234,-0.250161,0.088841,0.6
-,381,0.338447,-0.230209,0.089881,0.73
-,382,0.334669,-0.208851,0.090745,0.76
-,383,0.329626,-0.186416,0.091321,0.72
-,384,0.323049,-0.162894,0.091457,0.95
-,385,0.315129,-0.138618,0.092579,1.14
-,386,0.307095,-0.115903,0.091664,0.9
-,387,0.29917,-0.092046,0.091257,0.91
-,388,0.292354,-0.067959,0.090455,0.95
-,389,0.28582,-0.044484,0.089803,0.93
-,390,0.281373,-0.020516,0.088581,0.83
-,391,0.278551,0.003876,0.0878,0.91
-,392,0.277285,0.028872,0.087363,0.76
-,393,0.277483,0.053786,0.086841,0.92
-,394,0.278412,0.078744,0.08698,0.78
-,395,0.279982,0.103557,0.087408,0.84
-,396,0.281471,0.127854,0.088581,0.86
-,397,0.282877,0.151666,0.090664,0.8
-,398,0.284086,0.174952,0.093959,0.76
-,399,0.285747,0.197421,0.098619,0.84
-,400,0.288171,0.218256,0.103992,0.88
-,401,0.291222,0.237181,0.109896,0.87
-,402,0.294141,0.254146,0.116589,1.06
-,403,0.297541,0.26894,0.123944,0.89
-,404,0.29985,0.281691,0.13134,0.87
-,405,0.30071,0.292201,0.138133,0.9
-,406,0.300546,0.300696,0.143855,0.84
-,407,0.299091,0.306943,0.14876,0.76
-,408,0.2975,0.310597,0.152491,0.86
-,409,0.296492,0.311983,0.154511,0.82
-,410,0.296591,0.310368,0.154375,0.77
-,411,0.298274,0.306663,0.152725,0.86
-,412,0.301259,0.300377,0.149358,0.9
-,413,0.305298,0.291191,0.143741,0.71
-,414,0.311795,0.281056,0.136088,0.76
-,415,0.319365,0.272491,0.127017,0.76
-,416,0.325663,0.266824,0.116011,0.74
-,417,0.328241,0.265523,0.100663,0.83
-,418,0.326825,0.260712,0.08824,0.87
-,419,0.325078,0.253322,0.079683,0.89
-,420,0.325269,0.246042,0.07014,0.77
-,421,0.329402,0.23931,0.061155,1.1
-,422,0.329159,0.22943,0.061162,0.85
-,423,0.329335,0.221896,0.056933,1.18
-,424,0.330427,0.212754,0.054517,1.15
-,425,0.330783,0.203041,0.052549,1.19
-,426,0.330881,0.19305,0.051315,1.19
-,427,0.330883,0.182434,0.050382,1.17
-,428,0.330896,0.172057,0.049685,1.27
-,429,0.330967,0.161594,0.049151,0.89
-,430,0.330861,0.15079,0.048289,1.27
-,431,0.330875,0.140116,0.047932,0.82
-,432,0.33111,0.129653,0.047389,0.74
-,433,0.330919,0.118621,0.047118,0.94
-,434,0.330853,0.107632,0.046688,0.88
-,435,0.330782,0.096401,0.046254,0.84
-,436,0.33071,0.085138,0.045939,0.89
-,437,0.330704,0.073867,0.045388,0.92
-,438,0.330638,0.062612,0.044883,0.93
-,439,0.330415,0.051381,0.044394,0.91
-,440,0.330417,0.039988,0.043763,0.75
-,441,0.3305,0.029088,0.043673,0.81
-,442,0.330278,0.018578,0.043336,0.77
-,443,0.330293,0.008318,0.043502,0.92
-,444,0.33032,-0.001943,0.043332,0.88
-,445,0.330384,-0.012285,0.043263,0.94
-,446,0.330631,-0.022387,0.043047,0.83
-,447,0.330667,-0.032648,0.042993,0.89
-,448,0.330668,-0.043156,0.04295,0.82
-,449,0.330738,-0.05364,0.042879,0.91
-,450,0.330826,-0.064452,0.042631,0.7
-,451,0.33058,-0.075444,0.042674,0.77
